ball,1,3.3,Quetta Gladiators,Sarfraz Ahmed,JJ Roy,SR Patel,0,0,,,,,,"",""
ball,1,3.4,Quetta Gladiators,Sarfraz Ahmed,JJ Roy,SR Patel,0,0,,,,,,"",""
ball,1,3.5,Quetta Gladiators,Sarfraz Ahmed,JJ Roy,SR Patel,0,0,,,,,,caught,Sarfraz Ahmed
ball,1,3.6,Quetta Gladiators,Mohammad Nawaz (3),JJ Roy,SR Patel,1,0,,,,,,"",""
ball,1,4.1,Quetta Gladiators,Mohammad Nawaz (3),JJ Roy,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,4.2,Quetta Gladiators,Mohammad Nawaz (3),JJ Roy,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,4.3,Quetta Gladiators,JJ Roy,Mohammad Nawaz (3),Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,4.4,Quetta Gladiators,Mohammad Nawaz (3),JJ Roy,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,4.5,Quetta Gladiators,JJ Roy,Mohammad Nawaz (3),Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,4.6,Quetta Gladiators,JJ Roy,Mohammad Nawaz (3),Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,5.1,Quetta Gladiators,JJ Roy,Mohammad Nawaz (3),SR Patel,0,0,,,,,,bowled,JJ Roy
ball,1,5.2,Quetta Gladiators,Azam Khan,Mohammad Nawaz (3),SR Patel,0,0,,,,,,"",""
ball,1,5.3,Quetta Gladiators,Azam Khan,Mohammad Nawaz (3),SR Patel,0,0,,,,,,"",""
ball,1,5.4,Quetta Gladiators,Azam Khan,Mohammad Nawaz (3),SR Patel,0,0,,,,,,"",""
ball,1,5.5,Quetta Gladiators,Azam Khan,Mohammad Nawaz (3),SR Patel,0,0,,,,,,caught,Azam Khan
ball,1,5.6,Quetta Gladiators,BCJ Cutting,Mohammad Nawaz (3),SR Patel,0,0,,,,,,caught,BCJ Cutting
ball,1,6.1,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Mohammad Hafeez,0,0,,,,,,"",""
ball,1,6.2,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Mohammad Hafeez,0,0,,,,,,"",""
ball,1,6.3,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Mohammad Hafeez,0,0,,,,,,"",""
ball,1,6.4,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Mohammad Hafeez,0,0,,,,,,"",""
ball,1,6.5,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Mohammad Hafeez,0,0,,,,,,"",""
ball,1,6.6,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Mohammad Hafeez,0,0,,,,,,"",""
ball,1,7.1,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),SR Patel,1,0,,,,,,"",""
ball,1,7.2,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,SR Patel,0,0,,,,,,"",""
ball,1,7.3,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,SR Patel,0,0,,,,,,"",""
ball,1,7.4,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,SR Patel,0,0,,,,,,"",""
ball,1,7.5,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,SR Patel,0,0,,,,,,"",""
ball,1,7.6,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,SR Patel,0,0,,,,,,"",""
ball,1,8.1,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Mohammad Hafeez,0,0,,,,,,"",""
ball,1,8.2,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Mohammad Hafeez,2,0,,,,,,"",""
ball,1,8.3,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Mohammad Hafeez,4,0,,,,,,"",""
ball,1,8.4,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Mohammad Hafeez,0,0,,,,,,"",""
ball,1,8.5,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Mohammad Hafeez,0,0,,,,,,"",""
ball,1,8.6,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Mohammad Hafeez,1,0,,,,,,"",""
ball,1,9.1,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Raja Farzan,0,0,,,,,,"",""
ball,1,9.2,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Raja Farzan,4,0,,,,,,"",""
ball,1,9.3,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Raja Farzan,0,0,,,,,,"",""
ball,1,9.4,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Raja Farzan,1,0,,,,,,"",""
ball,1,9.5,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Raja Farzan,0,0,,,,,,"",""
ball,1,9.6,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Raja Farzan,0,0,,,,,,"",""
ball,1,10.1,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Mohammad Hafeez,0,0,,,,,,"",""
ball,1,10.2,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Mohammad Hafeez,6,0,,,,,,"",""
ball,1,10.3,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Mohammad Hafeez,0,0,,,,,,"",""
ball,1,10.4,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Mohammad Hafeez,1,0,,,,,,"",""
ball,1,10.5,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Mohammad Hafeez,0,0,,,,,,"",""
ball,1,10.6,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Mohammad Hafeez,1,0,,,,,,"",""
ball,1,11.1,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Raja Farzan,4,0,,,,,,"",""
ball,1,11.2,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Raja Farzan,1,0,,,,,,"",""
ball,1,11.3,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Raja Farzan,0,0,,,,,,"",""
ball,1,11.4,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Raja Farzan,0,0,,,,,,"",""
ball,1,11.5,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Raja Farzan,0,0,,,,,,"",""
ball,1,11.6,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Raja Farzan,0,0,,,,,,"",""
ball,1,12.1,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Dilbar Hussain,1,0,,,,,,"",""
ball,1,12.2,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Dilbar Hussain,0,0,,,,,,"",""
ball,1,12.3,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Dilbar Hussain,0,1,,,,1,,"",""
ball,1,12.4,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Dilbar Hussain,0,0,,,,,,"",""
ball,1,12.5,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Dilbar Hussain,0,0,,,,,,"",""
ball,1,12.6,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Dilbar Hussain,0,0,,,,,,"",""
ball,1,13.1,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Raja Farzan,0,0,,,,,,"",""
ball,1,13.2,Quetta Gladiators,Sohail Khan,Mohammad Nawaz (3),Raja Farzan,1,0,,,,,,"",""
ball,1,13.3,Quetta Gladiators,Mohammad Nawaz (3),Sohail Khan,Raja Farzan,0,0,,,,,,caught,Mohammad Nawaz (3)
ball,1,13.4,Quetta Gladiators,Sohail Khan,Fawad Ahmed,Raja Farzan,1,0,,,,,,"",""
ball,1,13.5,Quetta Gladiators,Fawad Ahmed,Sohail Khan,Raja Farzan,0,0,,,,,,"",""
ball,1,13.6,Quetta Gladiators,Fawad Ahmed,Sohail Khan,Raja Farzan,4,0,,,,,,"",""
ball,1,14.1,Quetta Gladiators,Sohail Khan,Fawad Ahmed,Dilbar Hussain,1,0,,,,,,"",""
ball,1,14.2,Quetta Gladiators,Fawad Ahmed,Sohail Khan,Dilbar Hussain,0,0,,,,,,"",""
ball,1,14.3,Quetta Gladiators,Fawad Ahmed,Sohail Khan,Dilbar Hussain,0,0,,,,,,"",""
ball,1,14.4,Quetta Gladiators,Fawad Ahmed,Sohail Khan,Dilbar Hussain,0,1,1,,,,,"",""
ball,1,14.5,Quetta Gladiators,Fawad Ahmed,Sohail Khan,Dilbar Hussain,0,0,,,,,,"",""
ball,1,14.6,Quetta Gladiators,Fawad Ahmed,Sohail Khan,Dilbar Hussain,0,0,,,,,,"",""
ball,1,14.7,Quetta Gladiators,Fawad Ahmed,Sohail Khan,Dilbar Hussain,0,0,,,,,,"",""
ball,1,15.1,Quetta Gladiators,Sohail Khan,Fawad Ahmed,Raja Farzan,1,0,,,,,,"",""
ball,1,15.2,Quetta Gladiators,Fawad Ahmed,Sohail Khan,Raja Farzan,0,1,1,,,,,"",""
ball,1,15.3,Quetta Gladiators,Fawad Ahmed,Sohail Khan,Raja Farzan,0,0,,,,,,stumped,Fawad Ahmed
ball,1,15.4,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Raja Farzan,0,0,,,,,,"",""
ball,1,15.5,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Raja Farzan,0,0,,,,,,"",""
ball,1,15.6,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Raja Farzan,0,0,,,,,,"",""
ball,1,15.7,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Raja Farzan,0,5,5,,,,,"",""
ball,1,15.8,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Raja Farzan,1,0,,,,,,"",""
ball,1,16.1,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,16.2,Quetta Gladiators,Sohail Khan,Zahid Mahmood,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,16.3,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,16.4,Quetta Gladiators,Sohail Khan,Zahid Mahmood,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,16.5,Quetta Gladiators,Sohail Khan,Zahid Mahmood,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,16.6,Quetta Gladiators,Sohail Khan,Zahid Mahmood,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,17.1,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Dilbar Hussain,1,0,,,,,,"",""
ball,1,17.2,Quetta Gladiators,Sohail Khan,Zahid Mahmood,Dilbar Hussain,0,0,,,,,,"",""
ball,1,17.3,Quetta Gladiators,Sohail Khan,Zahid Mahmood,Dilbar Hussain,1,1,,1,,,,"",""
ball,1,17.4,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Dilbar Hussain,4,1,,1,,,,"",""
ball,1,17.5,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Dilbar Hussain,2,0,,,,,,"",""
ball,1,17.6,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Dilbar Hussain,1,0,,,,,,"",""
ball,1,17.7,Quetta Gladiators,Sohail Khan,Zahid Mahmood,Dilbar Hussain,6,0,,,,,,"",""
ball,1,17.8,Quetta Gladiators,Sohail Khan,Zahid Mahmood,Dilbar Hussain,0,1,1,,,,,"",""
ball,1,17.9,Quetta Gladiators,Sohail Khan,Zahid Mahmood,Dilbar Hussain,0,0,,,,,,"",""
ball,1,18.1,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Salman Irshad,0,1,1,,,,,"",""
ball,1,18.2,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Salman Irshad,4,0,,,,,,"",""
ball,1,18.3,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Salman Irshad,0,1,1,,,,,"",""
ball,1,18.4,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Salman Irshad,0,0,,,,,,"",""
ball,1,18.5,Quetta Gladiators,Zahid Mahmood,Sohail Khan,Salman Irshad,1,0,,,,,,"",""
ball,1,18.6,Quetta Gladiators,Sohail Khan,Zahid Mahmood,Salman Irshad,0,0,,,,,,bowled,Sohail Khan
ball,1,18.7,Quetta Gladiators,Mohammad Hasnain,Zahid Mahmood,Salman Irshad,0,0,,,,,,"",""
ball,1,18.8,Quetta Gladiators,Mohammad Hasnain,Zahid Mahmood,Salman Irshad,2,0,,,,,,"",""
ball,1,19.1,Quetta Gladiators,Zahid Mahmood,Mohammad Hasnain,Dilbar Hussain,0,0,,,,,,"",""
ball,1,19.2,Quetta Gladiators,Zahid Mahmood,Mohammad Hasnain,Dilbar Hussain,0,0,,,,,,"",""
ball,1,19.3,Quetta Gladiators,Zahid Mahmood,Mohammad Hasnain,Dilbar Hussain,0,0,,,,,,"",""
ball,1,19.4,Quetta Gladiators,Zahid Mahmood,Mohammad Hasnain,Dilbar Hussain,0,0,,,,,,"",""
ball,1,19.5,Quetta Gladiators,Zahid Mahmood,Mohammad Hasnain,Dilbar Hussain,2,0,,,,,,"",""
ball,1,19.6,Quetta Gladiators,Zahid Mahmood,Mohammad Hasnain,Dilbar Hussain,1,0,,,,,,"",""
ball,2,0.1,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Nawaz (3),1,0,,,,,,"",""
ball,2,0.2,Lahore Qalandars,Sohail Akhtar,Fakhar Zaman,Mohammad Nawaz (3),1,0,,,,,,"",""
ball,2,0.3,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Nawaz (3),0,0,,,,,,"",""
ball,2,0.4,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Nawaz (3),0,0,,,,,,"",""
ball,2,0.5,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Nawaz (3),0,0,,,,,,"",""
ball,2,0.6,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Nawaz (3),1,0,,,,,,"",""
ball,2,1.1,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Hasnain,4,0,,,,,,"",""
ball,2,1.2,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Hasnain,6,0,,,,,,"",""
ball,2,1.3,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Hasnain,4,0,,,,,,"",""
ball,2,1.4,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Hasnain,0,1,,,,1,,"",""
ball,2,1.5,Lahore Qalandars,Sohail Akhtar,Fakhar Zaman,Mohammad Hasnain,1,0,,,,,,"",""
ball,2,1.6,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Hasnain,4,0,,,,,,"",""
ball,2,2.1,Lahore Qalandars,Sohail Akhtar,Fakhar Zaman,Mohammad Nawaz (3),3,0,,,,,,"",""
ball,2,2.2,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Nawaz (3),0,0,,,,,,"",""
ball,2,2.3,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Nawaz (3),0,0,,,,,,"",""
ball,2,2.4,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Nawaz (3),0,1,1,,,,,"",""
ball,2,2.5,Lahore Qalandars,Fakhar Zaman,Sohail Akhtar,Mohammad Nawaz (3),0,0,,,,,,bowled,Fakhar Zaman
ball,2,2.6,Lahore Qalandars,Mohammad Hafeez,Sohail Akhtar,Mohammad Nawaz (3),1,0,,,,,,"",""
ball,2,2.7,Lahore Qalandars,Sohail Akhtar,Mohammad Hafeez,Mohammad Nawaz (3),0,0,,,,,,"",""
ball,2,3.1,Lahore Qalandars,Mohammad Hafeez,Sohail Akhtar,Fawad Ahmed,0,0,,,,,,"",""
ball,2,3.2,Lahore Qalandars,Mohammad Hafeez,Sohail Akhtar,Fawad Ahmed,0,0,,,,,,"",""
ball,2,3.3,Lahore Qalandars,Mohammad Hafeez,Sohail Akhtar,Fawad Ahmed,0,0,,,,,,"",""
ball,2,3.4,Lahore Qalandars,Mohammad Hafeez,Sohail Akhtar,Fawad Ahmed,2,0,,,,,,"",""
ball,2,3.5,Lahore Qalandars,Mohammad Hafeez,Sohail Akhtar,Fawad Ahmed,0,0,,,,,,"",""
ball,2,3.6,Lahore Qalandars,Mohammad Hafeez,Sohail Akhtar,Fawad Ahmed,1,0,,,,,,"",""
ball,2,4.1,Lahore Qalandars,Mohammad Hafeez,Sohail Akhtar,Mohammad Nawaz (3),0,0,,,,,,"",""
ball,2,4.2,Lahore Qalandars,Mohammad Hafeez,Sohail Akhtar,Mohammad Nawaz (3),0,0,,,,,,"",""
ball,2,4.3,Lahore Qalandars,Mohammad Hafeez,Sohail Akhtar,Mohammad Nawaz (3),0,0,,,,,,"",""
ball,2,4.4,Lahore Qalandars,Mohammad Hafeez,Sohail Akhtar,Mohammad Nawaz (3),0,0,,,,,,"",""
ball,2,4.5,Lahore Qalandars,Mohammad Hafeez,Sohail Akhtar,Mohammad Nawaz (3),1,0,,,,,,"",""
ball,2,4.6,Lahore Qalandars,Sohail Akhtar,Mohammad Hafeez,Mohammad Nawaz (3),0,0,,,,,,stumped,Sohail Akhtar
ball,2,5.1,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Fawad Ahmed,0,0,,,,,,"",""
ball,2,5.2,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Fawad Ahmed,2,0,,,,,,"",""
ball,2,5.3,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Fawad Ahmed,0,0,,,,,,"",""
ball,2,5.4,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Fawad Ahmed,1,0,,,,,,"",""
ball,2,5.5,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Fawad Ahmed,0,0,,,,,,"",""
ball,2,5.6,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Fawad Ahmed,0,0,,,,,,"",""
ball,2,6.1,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Zahid Mahmood,1,0,,,,,,"",""
ball,2,6.2,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Zahid Mahmood,0,0,,,,,,"",""
ball,2,6.3,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Zahid Mahmood,1,0,,,,,,"",""
ball,2,6.4,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Zahid Mahmood,0,0,,,,,,"",""
ball,2,6.5,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Zahid Mahmood,0,0,,,,,,"",""
ball,2,6.6,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Zahid Mahmood,2,0,,,,,,"",""
ball,2,7.1,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Fawad Ahmed,1,0,,,,,,"",""
ball,2,7.2,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Fawad Ahmed,1,0,,,,,,"",""
ball,2,7.3,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Fawad Ahmed,4,0,,,,,,"",""
ball,2,7.4,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Fawad Ahmed,0,4,,,4,,,"",""
ball,2,7.5,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Fawad Ahmed,1,0,,,,,,"",""
ball,2,7.6,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Fawad Ahmed,4,0,,,,,,"",""
ball,2,8.1,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Zahid Mahmood,0,0,,,,,,"",""
ball,2,8.2,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Zahid Mahmood,1,0,,,,,,"",""
ball,2,8.3,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Zahid Mahmood,4,0,,,,,,"",""
ball,2,8.4,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Zahid Mahmood,1,0,,,,,,"",""
ball,2,8.5,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Zahid Mahmood,0,0,,,,,,"",""
ball,2,8.6,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Zahid Mahmood,1,0,,,,,,"",""
ball,2,9.1,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Fawad Ahmed,2,0,,,,,,"",""
ball,2,9.2,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Fawad Ahmed,0,0,,,,,,"",""
ball,2,9.3,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Fawad Ahmed,2,0,,,,,,"",""
ball,2,9.4,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Fawad Ahmed,4,0,,,,,,"",""
ball,2,9.5,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Fawad Ahmed,1,0,,,,,,"",""
ball,2,9.6,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Fawad Ahmed,1,0,,,,,,"",""
ball,2,10.1,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Mohammad Hasnain,1,0,,,,,,"",""
ball,2,10.2,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Mohammad Hasnain,6,0,,,,,,"",""
ball,2,10.3,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Mohammad Hasnain,1,0,,,,,,"",""
ball,2,10.4,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Mohammad Hasnain,4,0,,,,,,"",""
ball,2,10.5,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Mohammad Hasnain,0,0,,,,,,"",""
ball,2,10.6,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Mohammad Hasnain,2,0,,,,,,"",""
ball,2,11.1,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Zahid Mahmood,4,0,,,,,,"",""
ball,2,11.2,Lahore Qalandars,BR Dunk,Mohammad Hafeez,Zahid Mahmood,1,0,,,,,,"",""
ball,2,11.3,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Zahid Mahmood,4,0,,,,,,"",""
ball,2,11.4,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Zahid Mahmood,0,0,,,,,,"",""
ball,2,11.5,Lahore Qalandars,Mohammad Hafeez,BR Dunk,Zahid Mahmood,6,0,,,,,,"",""
